browser_type_Unknown,browser_type_Chrome,login_attempts,ip_reputation_score,failed_logins,succeeded_logins,attack_detected
0,0,4,0.606818080396889,1,3,1
0,0,3,0.3015689675960893,0,3,0
0,1,3,0.7391643279163831,2,1,1
1,0,4,0.1232671757524846,0,4,1
0,0,5,0.0548738567431703,1,4,0
0,1,5,0.4224858607066699,2,3,0
0,1,4,0.4137719285892984,1,3,1
0,1,3,0.0977193658576949,3,0,1
0,1,2,0.2945796876500889,0,2,0
0,1,6,0.4241165641663546,1,5,0
0,0,6,0.1228937389064628,3,3,1
0,0,9,0.3397112713433893,1,8,1
0,0,2,0.4068986326067099,2,0,0
1,0,4,0.4732919047923998,2,2,1
0,1,3,0.3524755745227921,3,0,1
0,1,6,0.2549124511362793,3,3,1
0,0,8,0.345367552273892,3,5,1
0,0,1,0.1367291897579692,2,0,0
1,0,5,0.3942314568896387,1,4,1
0,1,2,0.3101131570512104,0,2,0
0,0,3,0.3693246493280864,2,1,0
0,1,1,0.3738745916057353,1,0,0
0,0,3,0.4970295435549451,1,2,0
0,1,8,0.461950842242767,2,6,1
0,0,5,0.536245189457405,2,3,0
0,0,4,0.1078985576055601,3,1,1
0,1,9,0.5068194256848887,0,9,1
0,1,3,0.4204711850467863,0,3,0
0,1,2,0.7863154442710675,2,0,1
0,0,7,0.3360318477936075,0,7,1
0,1,1,0.0993898185618982,0,1,0
0,1,2,0.2720868405623606,1,1,1
0,1,1,0.0351392525704552,1,0,0
0,1,2,0.110269438624984,3,0,1
0,1,6,0.3915442086550267,2,4,0
0,1,2,0.5173361768348047,1,1,0
0,1,5,0.1379758234123113,2,3,0
0,0,7,0.0795093219361312,2,5,1
0,0,5,0.6459042598252172,4,1,1
0,1,4,0.3087899599206534,0,4,0
0,1,2,0.2991840394359722,1,1,0
0,1,4,0.0367521363575246,3,1,1
0,0,4,0.3974194615917665,2,2,0
0,1,5,0.2453131148697448,2,3,0
0,1,4,0.3373211395417786,1,3,0
0,1,2,0.6729768279913647,1,1,1
0,0,7,0.081769711383674,3,4,1
0,0,5,0.207445483534184,2,3,1
1,0,6,0.5343683322456065,2,4,1
0,0,1,0.2633726317268964,1,0,0
0,0,2,0.219704731816743,1,1,0
0,1,5,0.4663241681421678,1,4,0
0,0,5,0.8708336888298047,2,3,1
